,Timestamp,How old are you?,Gender identity,How often do you attend raves/electronic music events?,Years of experience in the rave scene,What is your primary role in the rave scene?,How often do you engage in conversations on the dancefloor?,"If you talk on the dancefloor, what's the primary reason?",How long do your dancefloor conversations typically last?,Do you perceive talking on the dancefloor as:,Have you noticed a change in dancefloor talking behavior since the COVID-19 pandemic?,What factors do you think contribute to increased talking on the dancefloor? (Select all that apply,How important is it to you to have a quiet dancefloor environment?,How likely are you to ask others to stop talking if it's disturbing your experience?,Do you think talking on the dancefloor affects your own experience?,Do you think talking on the dancefloor affects DJ's performance?,Do you think talking on the dancefloor affects overall event atmosphere?,"In your opinion, what's the best way to address excessive talking on the dancefloor?",Have you noticed any differences in talking behavior based on the time of night or duration of the event?,"Has your own talking behavior on the dancefloor changed over time? If yes, why?",Is there anything else you'd like to share about dancefloor etiquette or your experiences with talking at raves?,Categorized_Roles,Role_Attendee/Raver,Role_DJ,Role_Producer,Role_Event organizer,Role_Club staff,Role_Other,Number_of_Roles
10,7/25/2024 1:45:52,18-24,Male,Monthly,0-3,Attendee/Raver,Sometimes,Commenting on the music/performance,Just a few words,Neutral,Unsure,"Desire for social connection, Influence of alcohol or substances, Venue layout (lack of dedicated socializing areas)",3,2,"Yes, negatively","Yes, negatively","Yes, negatively",,,,,['Attendee/Raver'],1,0,0,0,0,0,1
11,7/25/2024 1:55:46,25-34,Male,Weekly,4-7,Attendee/Raver,Rarely,Meeting new people,Just a few words,Somewhat unacceptable,Unsure,"Influence of alcohol or substances, Changing social norms",4,3,"Yes, negatively","Yes, negatively","Yes, negatively","Good door policy and generally making people aware. I think it comes from new gained popularity and not so well ""educated"" dancers",Not really,"Not really, I like to focus on the music","As stated earlier, I feel it comes from a newly gained wider audience that does not primarily come for the music but more the whole vibe (which is ok). They thereby don't really know the rules or teach themselves as they don't see the importance as such.  ",['Attendee/Raver'],1,0,0,0,0,0,1
12,7/25/2024 1:57:51,35-44+,Male,Monthly,8+,Attendee/Raver,Often,All of the above,1-5 minutes,Neutral,No change,Music nog being engaging enough ,3,1,No effect,No effect,"Yes, negatively",Play music that captures the audiance attantion   ,Usually there is more talking inthe beginning of the event. When supstances have not kicked in het and people are not dialed in.,Not that i am aware,"Some events have more talking. Usually, at these events people come for the event itself and not for the music. But if the music is good. Talking stops. ",['Attendee/Raver'],1,0,0,0,0,0,1
13,7/25/2024 6:50:34,25-34,Male,Weekly,4-7,Attendee/Raver,Sometimes,Commenting on the music/performance,Just a few words,Somewhat acceptable,Unsure,"Desire for social connection, Changing social norms, Venue layout (lack of dedicated socializing areas)",2,1,No effect,No effect,"Yes, negatively",,,,,['Attendee/Raver'],1,0,0,0,0,0,1
14,7/25/2024 7:15:28,25-34,Male,Monthly,8+,Attendee/Raver,Often,Socializing with friends,Just a few words,Somewhat acceptable,Unsure,Venue layout (lack of dedicated socializing areas),4,4,"Yes, negatively","Yes, negatively","Yes, negatively","I don't mind when people talk in the back of the crowd, but front centre should be the dedicated shut-the-fuck-up-and-dance area. ",Daytime events are always more talking,"I've started to get more into the music, so I started noticing when I got distracted by others more. Another reason could be that my drug use has changed from uppers to psychedelics on the dancefloor ",Thanks for this survey Mr/Mrs Awesomepants!,['Attendee/Raver'],1,0,0,0,0,0,1
15,7/25/2024 7:41:06,25-34,Male,Weekly,8+,Attendee/Raver,Sometimes,Commenting on the music/performance,Just a few words,Somewhat unacceptable,"Yes, more talking",Changing social norms,4,1,"Yes, negatively","Yes, negatively","Yes, negatively",,,,,['Attendee/Raver'],1,0,0,0,0,0,1
16,7/25/2024 8:08:52,25-34,Male,Monthly,0-3,Attendee/Raver,Sometimes,Commenting on the music/performance,1-5 minutes,Somewhat acceptable,Unsure,"Desire for social connection, Influence of alcohol or substances, Changing social norms",4,2,No effect,"Yes, negatively","Yes, negatively",Mention it nicely to the talkers,No,From doing whole conversations to just exchanging a few words about the music. Move long conversations away from the dancefloor,,['Attendee/Raver'],1,0,0,0,0,0,1
17,7/25/2024 8:10:54,18-24,Female,Monthly,0-3,Attendee/Raver,Rarely,Commenting on the music/performance,Just a few words,Somewhat unacceptable,"Yes, more talking","Social anxiety, Changing social norms",4,2,No effect,No effect,"Yes, negatively",My strategy is to continue dancing and hopefully radiate an energy that makes others want to dance as well,I feel like it mostly happens between 00.00 and 03.00,,,['Attendee/Raver'],1,0,0,0,0,0,1
18,7/25/2024 8:29:38,25-34,Male,Monthly,8+,Attendee/Raver,Rarely,Commenting on the music/performance,Just a few words,Somewhat unacceptable,Unsure,"Influence of alcohol or substances, Venue layout (lack of dedicated socializing areas)",5,1,"Yes, negatively",No effect,"Yes, negatively",,,,,['Attendee/Raver'],1,0,0,0,0,0,1
19,7/25/2024 8:36:17,25-34,Male,Monthly,4-7,"Attendee/Raver, DJ, Producer, Event organizer, Club staff, I’ve done it all :)",Sometimes,Respond to people that want to talk to me (usually friends trying to socialize),1-5 minutes,Somewhat unacceptable,Unsure,"Desire for social connection, Influence of alcohol or substances, Venue layout (lack of dedicated socializing areas)",4,2,"Yes, negatively","Yes, negatively","Yes, negatively","Little tap on shoulders, ask gently. Usually doesn’t work though, most people that talk on the floor are naive about it IME",Not sure,"Yeah, used to do it more often, but have found out i am there to dance, not talk. If i want to talk i’ll go someplace else than the dancefloor",,"['Attendee/Raver', 'DJ', 'Producer', 'Event organizer', 'Club staff', 'Other']",1,1,1,1,1,1,6
20,7/25/2024 8:44:11,25-34,Prefer not to say,Weekly,8+,"Attendee/Raver, Event organizer, Club staff",Rarely,Commenting on the music/performance,Just a few words,Completely unacceptable,"Yes, more talking",Social anxiety,5,4,"Yes, negatively","Yes, negatively","Yes, negatively",,,,,"['Attendee/Raver', 'Event organizer', 'Club staff']",1,0,0,1,1,0,3
21,7/25/2024 8:46:24,25-34,Male,Monthly,4-7,"Attendee/Raver, Event organizer",Rarely,Commenting on the music/performance,Just a few words,Somewhat unacceptable,"Yes, more talking","Desire for social connection, Changing social norms, Venue layout (lack of dedicated socializing areas)",4,1,"Yes, negatively","Yes, negatively","Yes, negatively",,,,,"['Attendee/Raver', 'Event organizer']",1,0,0,1,0,0,2
22,7/25/2024 8:47:37,25-34,Male,Monthly,4-7,"Attendee/Raver, DJ, Producer",Sometimes,Socializing with friends,Just a few words,Somewhat unacceptable,No change,Desire for social connection,4,4,"Yes, negatively","Yes, negatively","Yes, negatively",,,,,"['Attendee/Raver', 'DJ', 'Producer']",1,1,1,0,0,0,3
23,7/25/2024 8:48:36,25-34,Male,Every few months,4-7,Attendee/Raver,Rarely,Socializing with friends,Just a few words,Neutral,"Yes, more talking","Desire for social connection, Influence of alcohol or substances, Changing social norms",2,3,No effect,No effect,"Yes, negatively",,,,,['Attendee/Raver'],1,0,0,0,0,0,1
24,7/25/2024 8:59:48,25-34,Male,Every few months,0-3,Attendee/Raver,Rarely,Commenting on the music/performance,Just a few words,Somewhat unacceptable,,"Desire for social connection, Influence of alcohol or substances, Venue layout (lack of dedicated socializing areas)",5,2,"Yes, negatively",No effect,"Yes, negatively",,"Usually it’s less at the end of the night and it also depends on de dj performance I feel. If the vibe is really on, the talking usually is less. ","Yes, it has become less since i realized it might be disturbing others. In general I am going to events more for the music now and I also know better which events to go to and which ones to avoid. ",I’m not tall (170cm) and nothing is more disturbing than a couple of 180-190cm tall dudes that are discussing their workweek in front of the dj boot. I think an awareness campaign that talking on the dancefloor might disturb someone’s experience might help.,['Attendee/Raver'],1,0,0,0,0,0,1
25,7/25/2024 9:02:42,35-44+,Prefer not to say,Monthly,8+,"Attendee/Raver, DJ, Event organizer",Rarely,Meeting new people,1-5 minutes,Somewhat unacceptable,No change,Venue layout (lack of dedicated socializing areas),4,3,"Yes, negatively","Yes, negatively","Yes, negatively",educate your crowd,the start of the event alway has more talking,my hearing is getting worse so talking is getting more and more difficult ,,"['Attendee/Raver', 'DJ', 'Event organizer']",1,1,0,1,0,0,3
26,7/25/2024 9:03:48,25-34,Male,Every few months,8+,Attendee/Raver,Sometimes,Commenting on the music/performance,Just a few words,Somewhat acceptable,Unsure,"Desire for social connection, Changing social norms",4,2,"Yes, negatively","Yes, negatively","Yes, negatively","It's about adressing social norms. You need to be in for the long run. Older people had more face to face contact on daily basis, that's why the urge to talk on the dance floor was probably less then the younger kids who look at a screen most of the time and have less idea when to talk and when to be quiet. ","Th e longer people are togheter, the less they probably they have to say to each-other. ",Just a bit. Because i became more aware about what it does. ,no. good luck ,['Attendee/Raver'],1,0,0,0,0,0,1
27,7/25/2024 9:12:22,25-34,Male,Every few months,0-3,Attendee/Raver,Sometimes,Meeting new people,1-5 minutes,Somewhat acceptable,Unsure,"Desire for social connection, Influence of alcohol or substances",3,2,"Yes, positively",No effect,"Yes, positively",,,,,['Attendee/Raver'],1,0,0,0,0,0,1
28,7/25/2024 9:13:28,25-34,Male,Every few months,0-3,Attendee/Raver,Rarely,Commenting on the music/performance,Just a few words,Somewhat unacceptable,Unsure,"Desire for social connection, Venue layout (lack of dedicated socializing areas)",4,4,"Yes, negatively","Yes, negatively","Yes, negatively",Call people out,,no,,['Attendee/Raver'],1,0,0,0,0,0,1
29,7/25/2024 9:13:33,35-44+,Male,Weekly,0-3,Attendee/Raver,Rarely,Meeting new people,Just a few words,Somewhat unacceptable,,"Desire for social connection, Influence of alcohol or substances",4,2,"Yes, negatively","Yes, negatively","Yes, negatively",It’s a big step to take but you can ask them to go elsewhere to the social areas,"When there is more daylight, more talking","Less talking, only a couple of words nowadays. Or I move to the front of the dj",,['Attendee/Raver'],1,0,0,0,0,0,1
30,7/25/2024 9:18:45,35-44+,Male,Monthly,8+,Attendee/Raver,Sometimes,Socializing with friends,1-5 minutes,Neutral,Unsure,Desire for social connection,3,3,No effect,No effect,"Yes, negatively",Move to another spot or ask them to be quiet,Yes. Longer the night goes on the less talking,"I’m more aware now that it bothers some people so I try not to overdo it, but sometimes it’s hard cos the chat is good and you’re high",,['Attendee/Raver'],1,0,0,0,0,0,1
31,7/25/2024 9:33:49,25-34,Female,Every few months,0-3,Attendee/Raver,Never,"I don’t talk on the dance floor unless I’m being asked a question by a fellow raver, or to express something of importance. ",Just a few words,Completely unacceptable,"Yes, more talking","Desire for social connection, Influence of alcohol or substances, Venue layout (lack of dedicated socializing areas)",4,4,"Yes, negatively","Yes, negatively","Yes, negatively","Try to make people aware that they’re disturbing the atmosphere in a polite way, hoping they’ll understand and love the conversation elsewhere. ",Yes,No,,['Attendee/Raver'],1,0,0,0,0,0,1
32,7/25/2024 9:58:25,25-34,Female,Monthly,8+,Attendee/Raver,Rarely,Commenting on the music/performance,Just a few words,Completely unacceptable,Unsure,"Changing social norms, Venue layout (lack of dedicated socializing areas)",5,1,"Yes, negatively","Yes, negatively","Yes, negatively","Include it in the party rules, chexk etiquette at the door ","Yes, its usually earlier when the party peeps are still around.",No,"I feel like raving has just become really popular. So you get a lot of people who want to attend clubs and parties but don’t actually get the music, and just see it like a regular night out with friends",['Attendee/Raver'],1,0,0,0,0,0,1
33,7/25/2024 9:59:35,25-34,Male,Every few months,4-7,Attendee/Raver,Sometimes,Socializing with friends,1-5 minutes,Completely acceptable,No change,Influence of alcohol or substances,2,2,No effect,"Yes, negatively",No effect,Can't ask others what to do,Usually. More talking in beginning of the event,More dance less talk ,,['Attendee/Raver'],1,0,0,0,0,0,1
34,7/25/2024 10:05:20,18-24,Male,Weekly,0-3,Attendee/Raver,Often,Commenting on the music/performance,Just a few words,Somewhat unacceptable,Unsure,"Influence of alcohol or substances, Venue layout (lack of dedicated socializing areas)",4,1,"Yes, negatively",No effect,"Yes, negatively",,,,,['Attendee/Raver'],1,0,0,0,0,0,1
35,7/25/2024 10:16:20,25-34,Male,Monthly,8+,Attendee/Raver,Rarely,Commenting on the music/performance,Just a few words,Somewhat unacceptable,"Yes, more talking","Desire for social connection, Changing social norms, Venue layout (lack of dedicated socializing areas)",4,3,"Yes, negatively",No effect,"Yes, negatively",Statements from event organisers,Longer events --> early on lots of talking,"Yes, less",Other observation: People give eachother less space to dance since COVID. Especially the front half of the dancefloor has become a bumpfest for most events.,['Attendee/Raver'],1,0,0,0,0,0,1
36,7/25/2024 10:16:25,25-34,Female,Monthly,4-7,Attendee/Raver,Rarely,Commenting on the music/performance,Just a few words,Completely unacceptable,Unsure,"Desire for social connection, Influence of alcohol or substances",5,1,"Yes, negatively",No effect,"Yes, negatively",Adding it to the house rules,No,No,,['Attendee/Raver'],1,0,0,0,0,0,1
37,7/25/2024 10:17:40,25-34,Male,Monthly,4-7,Attendee/Raver,Rarely,Commenting on the music/performance,Just a few words,Somewhat unacceptable,Unsure,"Desire for social connection, Influence of alcohol or substances, Lack of dancefloor etiquette",4,2,"Yes, negatively","Yes, negatively","Yes, negatively","Include it in the house rules, bouncer should let know to incoming groups. It's okay to talk for a bit, but if you want to talk more just go to a social area or in the very background","When big groups of friends are allowed (Radion or festivals) they have less social cohesion with the rest of the people of the club because their social focus just stays in that group, they want to share the experience just with their group. In addition they are less likely to meet someone new there and participate proactively.","Yes, in the beginning I was talking with my friends just as in any social event (also the parties weren't that underground and was seen more normal to talk in the dancefloor) ",It is hard to address this. Ideally everyone who wants to talk would go to other areas. But sometimes you are just next to nice people and want to chat from time to time without having to leave that perfect spot. I also think the higher the bpm the less people would chat (I dont necessarilly prefer high bpm techno personally),['Attendee/Raver'],1,0,0,0,0,0,1
38,7/25/2024 10:26:14,25-34,Female,Monthly,8+,"Attendee/Raver, Event organizer",Sometimes,Meeting new people,Just a few words,Somewhat unacceptable,No change,"this question implies that i agree, which i dont",4,5,"Yes, negatively","Yes, negatively","Yes, negatively",going blablabla with my hands has helped for 10+ years,"lame events = more talking, utrecht = more talking, earlier in the night = more talking ","i used to get really annoyed, now i feel it’s more of a you-do-you as long as it’s not super super disturbing. if everyone is talking (ie lame party anyway) then i’d either join or rather just go home - everything else is too frustrating and there’s always another party, it all really doesn’t matter that much. and i talk more now but maybe more in the back of the dancefloor (guilty)","i came to the netherlands 10 years ago, i was always a bit surprised by how much “not dancing” is a thing - also at concerts for example. ask any artist, it’s not as easy to get people moving here compared to other countries. dont think covid is the reason - although there might be more young people now with less “club etiquette” for sure","['Attendee/Raver', 'Event organizer']",1,0,0,1,0,0,2
39,7/25/2024 10:28:21,25-34,Female,Monthly,0-3,"Attendee/Raver, Light operator ",Rarely,All of the above,Just a few words,Somewhat unacceptable,Unsure,"Influence of alcohol or substances, Venue layout (lack of dedicated socializing areas)",4,1,"Yes, negatively","Yes, negatively","Yes, negatively",I don't think you can stop people from talking.,Usually by the end of the event all the talkers are gone and we can all dance and vibe together as non talkers,"I've become way less drunk, and kept my conversations a lot shorter. Just a few comments to friends here and there. Excessive talking I do somewhere else or way in the back of the dance floor ","Talking shouldn't be such a problem, I think it's fine to talk. Just make sure you do it in the back, not in front where the biggest ravers are dancing their asses off","['Attendee/Raver', 'Other']",1,0,0,0,0,1,2
40,7/25/2024 10:29:06,25-34,Female,Weekly,4-7,Attendee/Raver,Rarely,Commenting on the music/performance,1-5 minutes,Somewhat unacceptable,Unsure,"Influence of alcohol or substances, Changing social norms, Venue layout (lack of dedicated socializing areas)",3,4,"Yes, negatively",,"Yes, negatively",Having some space to chill where you can still hear the music and include in the house rules that the dancefloor is for dancing,,,,['Attendee/Raver'],1,0,0,0,0,0,1
41,7/25/2024 10:30:16,25-34,Male,Weekly,4-7,"Attendee/Raver, DJ",Sometimes,Socializing with friends,Just a few words,Neutral,"Yes, more talking","Desire for social connection, Influence of alcohol or substances, Changing social norms",3,2,"Yes, negatively","Yes, negatively","Yes, negatively","Just making a small remarks with a few worsd. It's hard, because it will become the ""stiltecoupe"" paradox. If you say something to the people talking, they are like: ""aren't you now talking as well?! Sushh!""...",Totally depends on the event.,"Not really. I like to catch up, but I also know that the dancefloor is not the place. ","Talking is one thing, but talking and STANDING COMPLETELY STILL in the middle of the dancefloor is just unacceptable in my opinion. ","['Attendee/Raver', 'DJ']",1,1,0,0,0,0,2
42,7/25/2024 10:35:34,25-34,Male,Every few months,0-3,Attendee/Raver,Rarely,Socializing with friends,Just a few words,Somewhat unacceptable,Unsure,Social anxiety,4,1,"Yes, negatively","Yes, negatively","Yes, negatively",,,,,['Attendee/Raver'],1,0,0,0,0,0,1
43,7/25/2024 10:42:37,18-24,Male,Weekly,4-7,"Attendee/Raver, DJ, Event organizer, Club staff",Sometimes,Commenting on the music/performance,Just a few words,Somewhat unacceptable,"Yes, more talking","Desire for social connection, Changing social norms",4,4,"Yes, negatively",No effect,"Yes, negatively",Side eye,At the start everyone is really chatty but then they all just high and dancing,I've had enough of people lol,,"['Attendee/Raver', 'DJ', 'Event organizer', 'Club staff']",1,1,0,1,1,0,4
44,7/25/2024 11:03:57,25-34,Female,Every few months,0-3,Attendee/Raver,Rarely,Deciding bar order,Just a few words,Completely unacceptable,Unsure,"Changing social norms, Venue layout (lack of dedicated socializing areas), People that just want to be in the scene instead of being there for the music. ",4,1,"Yes, negatively","Yes, negatively","Yes, negatively",Doing like in Berlin and asking people queuing if they know the djs playing. Implement no phone policy. ,Yes. People talk more on festivals than club parties. ,Not really. I'm not a talker on the dance floor. I just want to dance and connect with the music. ,The most annoying scenario is a group of people that stand in a circle drinking and talking to each other. ,['Attendee/Raver'],1,0,0,0,0,0,1
45,7/25/2024 11:13:19,18-24,Male,Weekly,4-7,Attendee/Raver,Rarely,Commenting on the music/performance,Just a few words,Somewhat unacceptable,Unsure,"Changing social norms, Venue layout (lack of dedicated socializing areas)",4,1,"Yes, negatively",No effect,"Yes, negatively",,,,,['Attendee/Raver'],1,0,0,0,0,0,1
46,7/25/2024 12:00:42,25-34,Male,Monthly,8+,"Attendee/Raver, Stage builder",Often,"Meeting people, having fun, hooking up, all of it ",1-5 minutes,Completely acceptable,No change,"Desire for social connection, Influence of alcohol or substances",2,5,"Yes, positively",No effect,No effect,Just tell someone you’re there to dance and not for a conversation. Sometimes I tell them the music is too loud. Really depends on the persons and whether I like to talk. ,Daytime/open air = more talking,No,Good chill/smoke areas help. People will go there to talk. ,"['Attendee/Raver', 'Other']",1,0,0,0,0,1,2
47,7/25/2024 12:19:50,18-24,Female,Monthly,0-3,"Attendee/Raver, Event organizer, Club staff",Always,Making the vibe on the dancefloor more connected ,Just a few words,Completely acceptable,Unsure,"Desire for social connection, Changing social norms, Venue layout (lack of dedicated socializing areas)",1,1,No effect,No effect,No effect,Just straight up tell people. The conversations I have are usually very short and funny. But if you’re having full convos of 10 minutes on the dancefloor go fuck off ,During the day (at a Bret for example) people talk more (then during a Bret night),I would say over time I started to dance harder and take more breaks. Not in terms of talking. I have always been quite social ,Just like I said before. I think there is nothing wrong with having a little short convo on the dancefloor. I have them all the time. I feel like it actually improves the social cohesion. I think it’s quite toxic when dj’s say ‘no talking on the dancefloor’. For me personally I would say ‘no full conversations on the danceloof’. That’s a whole different category.,"['Attendee/Raver', 'Event organizer', 'Club staff']",1,0,0,1,1,0,3
48,7/25/2024 13:01:41,18-24,Male,Every few months,0-3,Attendee/Raver,Rarely,Commenting on the music/performance,Just a few words,Somewhat unacceptable,Unsure,Desire for social connection,4,2,"Yes, negatively","Yes, negatively","Yes, negatively",Club rules with no talking on dancefloor explained at entrance.,Weekenders sunday morning are most quiet,"Yes I do it less, I get annoyed with others who talk ",,['Attendee/Raver'],1,0,0,0,0,0,1
49,7/25/2024 13:02:48,25-34,Male,Weekly,8+,"Attendee/Raver, DJ, Event organizer",Sometimes,Commenting on the music/performance,Just a few words,Neutral,No change,Desire for social connection,3,4,"Yes, negatively","Yes, negatively","Yes, negatively",,,,,"['Attendee/Raver', 'DJ', 'Event organizer']",1,1,0,1,0,0,3
50,7/25/2024 13:09:19,25-34,Male,Monthly,8+,Attendee/Raver,Often,Socializing with friends,Just a few words,Somewhat acceptable,"Yes, more talking","Desire for social connection, Influence of alcohol or substances",3,5,"Yes, negatively","Yes, negatively","Yes, positively",If it's too much talking and it gets you out of the music you can always just ask people to talk somewhere else or just be quiet. People will understand in general,No people always talk on the dancefloor. Especially at smaller parties. Because everyone knows eachother and want to say hi.,"I don't think so. Yes after corona it was really nice to see my party friends again and to have a small chat. But I've always had conversations on dancefloors also at places where it wasn't that practical. The dancefloor for me is also a place to have shits & giggles with friends or the people around me. So yeah if people would be annoyed by that they should feel free to step up to me and ask me to be a bit more quiet. I would understand and respect that, because I have asked that to many other people before.","I think it is also the placement of the people on the dancefloor. There is always a certain dynamic that I love where people stand. People who are standing with their faces in the subs or in front are there to dance. People on the side are more chilled down and in the middle I feel like there is more room for connection because you are in the middle of the crowd. A party should always have a place for fun and bullshittery. So a bit of chatter might enhanche the vibe in my opinion. As long as it's not full in depth conversations, just go to the chill area. I barely understand what someone is saying in my ear if I want to listen to the music and it will also save my voice for the next day if I don't have to scream where the music is very loud. I can go on for hours about this so we will discuss that next time we see eachother =)",['Attendee/Raver'],1,0,0,0,0,0,1
51,7/25/2024 13:10:04,25-34,Male,Weekly,8+,Attendee/Raver,Never,Commenting on the music/performance,Just a few words,Somewhat unacceptable,Unsure,"Desire for social connection, Changing social norms, Venue layout (lack of dedicated socializing areas)",5,1,"Yes, positively",No effect,"Yes, negatively",Telling to go to the back ,Nee,I can't hear shit so I don't wanna talk!,"If you wanna talk to me, just write it on a screen!",['Attendee/Raver'],1,0,0,0,0,0,1
52,7/25/2024 13:20:03,25-34,Male,Monthly,4-7,Attendee/Raver,Rarely,Commenting on the music/performance,Just a few words,Somewhat unacceptable,"Yes, more talking","Desire for social connection, Influence of alcohol or substances",4,1,"Yes, negatively","Yes, negatively","Yes, negatively",Chill room,"Yeah, the more time is spend at a rave/party and the more drugs are taken. The behavior is chaning",Yeah i am more focussed on music less on talking. Talking can be done in the chill area,"No phones, just enjoy right now",['Attendee/Raver'],1,0,0,0,0,0,1
